Component,Description,McMaster Part # (if applicable),Category,Unit Qty,Pkg. Qty,Bulk Qty,Bulk Parts Cost,Unit Cost,Subtotal (Bulk Parts Cost) ,Subtotal (Unit Parts Cost),Sourcing Link,
,,,,,,,,,,,,
I/O ,,,,,,,,,,,,
2x1 header J5,male pin header 1x02 P2.54mm,,Electronics,360 pins,2 pins,1,$4.95 ,,$5.00 ,$0.03 ,,
Capacitor C1 ,"100 uF, 16V, electrolytic radial",,Electronics,1,1,1,$0.32 ,,$1.00 ,$0.32 ,https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEU-FR1C101B/P15330CT-ND/3072210,
"Capacitors C2,C3","6.8 uF, 50V, electrolytic radial",,Electronics,1,1,2,$0.20 ,,$1.00 ,$0.40 ,https://www.digikey.com/product-detail/en/panasonic-electronic-components/EEA-GA1H6R8/P14509-ND/2504598,
Speaker,Logitech Z50 speaker,,Electronics,1,1,1,$19.99 ,,$20.00 ,,https://www.amazon.com/Z50-smartphone-tablet-laptop-Grey/dp/B00EZ9XLF8/ref=sr_1_1?dchild=1&hvadid=78408975043567&hvbmt=be&hvdev=c&hvqmt=e&keywords=logitech+z50&qid=1595253882&sr=8-1&tag=mh0b-20,
,,,,,,,,,,,Electronics,$342 
,,,,,,Total Cost,,,"$1,741.90 ","$1,388.93 ",,
,,,,,,,,,,,,
Specialized Tools,,,,,,,,,,,,
M16 tap,"HSS Tap, Bottoming Chamfer, M16 x 1.0 mm Thread (for mounting O2 Sensor)",26015A236,Tools and testing,,,1,$46.63 ,,$47.00 ,,https://www.mcmaster.com/26015A236,
"1/4"" NPT tap ","Uncoated High-Speed Steel Pipe and Conduit Thread Tap High-Speed Steel, Plug Chamfer, 1/4 NPT, 2-7/16"" Overall Length",2525A173,Tools and testing,,,1,$24.94 ,,$25.00 ,,https://www.mcmaster.com/2525A173-2525A173,
"3/4"" NPT tap ","Uncoated High-Speed Steel Pipe and Conduit Thread Tap: High-Speed Steel, Plug Chamfer, 3/4 NPT, 3-1/4"" Overall Length",2525A176,Tools and testing,,,1,$70.16 ,,$71.00 ,,https://www.mcmaster.com/2525A176/,
Ingmar QuickLung Test Bellows,(Optional) variable resistance/compliance test lung for testing only,,Tools and testing,,,1,"$1,500.00 ",,"$1,500.00 ",,https://www.ingmarmed.com/product/quicklung/,
,,,,,,,,,,,,
Not on the List:,,,,,,,,,,,,
PETG for 3d printing,~1 kg spool of PETG,,Tubing/Adapters,,,1,$30.00 ,,$30.00 ,,,
Commercial PEEP valves ,Alternative: Medium silicone film for printed PEEP valve: https://www.mcmaster.com/86045K58,,Flow control,,,,,,,,,
Adult Test Lung,Standard adult test lung (Many options here),,Tools and testing,,,,$30.00 ,,,,https://www.ebay.com/itm/Adult-Test-Lung-LNG600P-Newport-Medical-Instruments-a-division-of-Covidien/264679192553?hash=item3da01bf7e9:g:9FEAAOSw~4hbtoaY&fbclid=IwAR35qedvGn5JODcB-F5Kurw0ZH11KOdH6UpmUypnj2lWZcv5GzIfVlEDSaw,
Air compressor for initial testing,,,,,,,,,,,https://www.dewalt.com/products/storage-and-gear/air-compressors/16-hp-continuous-225-psi-45-gallon-compressor/d55146,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
